,original_count,original_mean,original_std,original_min,original_25%,original_50%,original_75%,original_max,anonymized_count,anonymized_mean,anonymized_std,anonymized_min,anonymized_25%,anonymized_50%,anonymized_75%,anonymized_max,original_missing,anonymized_missing,original_missing_perc,anonymized_missing_perc,MAE,RMSE
age,328108.0,32.52609811403562,7.730576172086706,13.0,27.0,31.0,37.0,125.0,324782.0,32.29896768573076,8.093752296092381,-3.703274954463449,26.458513752197057,31.522873049447202,37.589315734965325,72.38323234522582,0,3326,0.0,1.0136906140661002,2.225173669021417,3.153783990592708
height,159233.0,120.83500279464684,21021.805219822305,0.0,66.0,69.0,72.0,8388607.0,157407.0,68.579203228169,4.316649117765432,49.70909327935507,65.69998887529147,68.91990207865655,71.64760895830675,86.32588376718769,168875,170701,51.46933326831409,52.025857339656454,1.1950986109664987,1.6886643125767071
weight,229121.0,170.91939193701145,58.43977601584808,1.0,145.0,170.0,192.0,20175.0,226380.0,169.93379432426383,34.54675649181908,7.921943699728402,144.43850439109923,170.22646252290565,193.53261283865223,344.6415190082255,98987,101728,30.16902970972972,31.004425372133564,9.555993681796709,13.52339927825447
candj,104137.0,271.2453978893189,26005.95174402438,-45.0,142.0,195.0,235.0,8388607.0,100542.0,193.86787426528429,63.805578986950216,-67.01663293485677,145.84556588776803,194.66212402830945,239.55817988607907,478.6490673099444,223971,227566,68.26136516025211,69.35704097431334,17.611333759888552,24.920089531593263
snatch,97039.0,242.80298642813713,27123.0381710171,0.0,105.0,145.0,185.0,8388607.0,96885.0,143.49499698320372,59.25116297889969,-164.46867151484253,105.13250750270744,145.17824265685934,183.8029953756998,417.0492086829687,231069,231223,70.42467724042083,70.47161300547381,16.31479185235518,23.058436001543917
deadlift,114977.0,698.2997382085113,55315.3918608884,-500.0,255.0,345.0,415.0,8388607.0,111080.0,343.513421460675,107.30580386298251,-90.8895116154086,262.34027139970016,346.7667685375077,421.5568004606865,766.9059924224842,213131,217028,64.95757494483524,66.1452936228315,29.556328922038748,41.745183435787844
backsq,110188.0,586.2660271535921,50605.136119570176,-7.0,205.0,275.0,335.0,8388607.0,106275.0,277.97277368643216,92.79914011382961,-76.6433763991952,208.7970448819288,277.51648751214367,343.293946550958,656.4883009335674,217920,221833,66.41715532690455,67.6097504480232,25.63698156457338,36.223208509396926
region,,,,,,,,,,,,,,,,,79848,79848,24.335889402269984,24.335889402269984,,
gender,,,,,,,,,,,,,,,,,0,0,0.0,0.0,,
