,original_count,original_mean,original_std,original_min,original_25%,original_50%,original_75%,original_max,anonymized_count,anonymized_mean,anonymized_std,anonymized_min,anonymized_25%,anonymized_50%,anonymized_75%,anonymized_max,original_missing,anonymized_missing,original_missing_perc,anonymized_missing_perc,MAE,RMSE
age,328108.0,32.52609811403562,7.730576172086706,13.0,27.0,31.0,37.0,125.0,328100.0,32.074757695824445,8.209928450574568,16.0,25.0,35.0,35.0,65.0,0,8,0.0,0.002438221561193266,2.447781164279183,2.8596590892403233
height,159233.0,120.83500279464684,21021.805219822305,0.0,66.0,69.0,72.0,8388607.0,159233.0,120.83500279464684,21021.805219822305,0.0,66.0,69.0,72.0,8388607.0,168875,168875,51.46933326831409,51.46933326831409,0.0,0.0
weight,229121.0,170.91939193701145,58.43977601584808,1.0,145.0,170.0,192.0,20175.0,228972.0,168.68405307199134,36.602312941535644,75.0,125.0,175.0,175.0,350.0,98987,99136,30.16902970972972,30.21444158630695,11.949028702199396,14.03210389537585
candj,104137.0,271.2453978893189,26005.95174402438,-45.0,142.0,195.0,235.0,8388607.0,104137.0,271.2453978893189,26005.95174402438,-45.0,142.0,195.0,235.0,8388607.0,223971,223971,68.26136516025211,68.26136516025211,0.0,0.0
snatch,97039.0,242.80298642813713,27123.0381710171,0.0,105.0,145.0,185.0,8388607.0,97039.0,242.80298642813713,27123.0381710171,0.0,105.0,145.0,185.0,8388607.0,231069,231069,70.42467724042083,70.42467724042083,0.0,0.0
deadlift,114977.0,698.2997382085113,55315.3918608884,-500.0,255.0,345.0,415.0,8388607.0,110910.0,345.5242989811559,102.96080538316967,150.0,250.0,350.0,450.0,850.0,213131,217198,64.95757494483524,66.19710583100687,25.99349923361284,30.01241545756842
backsq,110188.0,586.2660271535921,50605.136119570176,-7.0,205.0,275.0,335.0,8388607.0,106462.0,278.93797787003814,98.58055424285317,100.0,188.0,262.0,338.0,625.0,217920,221646,66.41715532690455,67.55275701903032,22.199451447464824,30.967022038710937
region,,,,,,,,,,,,,,,,,79848,79848,24.335889402269984,24.335889402269984,,
gender,,,,,,,,,,,,,,,,,0,0,0.0,0.0,,
