,original_count,original_mean,original_std,original_min,original_25%,original_50%,original_75%,original_max,anonymized_count,anonymized_mean,anonymized_std,anonymized_min,anonymized_25%,anonymized_50%,anonymized_75%,anonymized_max,original_missing,anonymized_missing,original_missing_perc,anonymized_missing_perc,MAE,RMSE
age,328108.0,32.52609811403562,7.730576172086706,13.0,27.0,31.0,37.0,125.0,328108.0,32.52590934884996,7.741523328973233,13.0,27.0,31.805351208255658,37.0,133.93090353919385,0,0,0.0,0.0,0.0781660885202549,0.38273433833462345
height,159233.0,120.83500279464684,21021.805219822305,0.0,66.0,69.0,72.0,8388607.0,328108.0,60.32835869941167,15610.163014166566,0.0,0.0,0.0,69.0,8941620.240121583,168875,0,51.46933326831409,0.0,3.6687658100779483,1385.8591157059368
weight,229121.0,170.91939193701145,58.43977601584808,1.0,145.0,170.0,192.0,20175.0,328108.0,119.35438031650732,92.53180341454258,0.0,0.0,150.0,183.0,20567.188246405098,98987,0,30.16902970972972,0.0,0.4664459484443058,2.8013739589870315
candj,104137.0,271.2453978893189,26005.95174402438,-45.0,142.0,195.0,235.0,8388607.0,328108.0,84.85861965631975,13948.313588278636,-45.0,0.0,0.0,135.0,7985628.887098133,223971,0,68.26136516025211,0.0,4.366980863685706,1248.763320874684
snatch,97039.0,242.80298642813713,27123.0381710171,0.0,105.0,145.0,185.0,8388607.0,328108.0,68.82536930819398,13056.662264657401,0.0,0.0,0.0,90.0,7410416.424788488,231069,0,70.42467724042083,0.0,10.469675137425536,3140.1520145701434
deadlift,114977.0,698.2997382085113,55315.3918608884,-500.0,255.0,345.0,415.0,8388607.0,328108.0,250.9772689430012,34462.874704827234,-500.0,0.0,0.0,265.0,9673750.0267591,213131,0,64.95757494483524,0.0,30.24033057073184,5352.292580778189
backsq,110188.0,586.2660271535921,50605.136119570176,-7.0,205.0,275.0,335.0,8388607.0,328108.0,197.46942432991494,29542.51399282661,-7.0,0.0,0.0,205.0,8923184.478582092,217920,0,66.41715532690455,0.0,16.616761195485022,2610.050222499388
region,,,,,,,,,,,,,,,,,79848,0,24.335889402269984,0.0,,
gender,,,,,,,,,,,,,,,,,0,0,0.0,0.0,,
